filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
eu_calib_7cm.Spe,152EU,121.7817,498785.15529374866,3195.011537268747,0.2853,0.0016,0.07451279898441573,0.007979571211861172,25154149.4127419,2702490.32448121,10250.264634369152,1101.2593009295886,21.92265409455052,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,244.6974,80193.19323346834,395.42550241415285,0.0755,0.0004,0.0708081307839883,0.004559470779851874,16081856.824228637,1043608.525577516,6553.323889253723,425.2683478310986,1.9089331017972793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,251.633,609.9795792040712,109.7414033226884,0.00067,1.9e-05,0.06992109362842806,0.004529256925660767,13959216.616233192,2756978.8982615494,5688.352329353379,1123.4632837251627,1.9089331017972793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,271.08,852.7924618087598,90.82220849480541,0.0007149999999999999,1.9e-05,0.06739154021739634,0.004462445854725147,18974078.565571196,2517597.8611850897,7731.898355978483,1025.9159988529298,0.9911161567689494,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,295.9387,4257.915113825143,90.38375412241746,0.0044,4e-05,0.06416982960376963,0.004357262662184058,16167475.154571293,1185725.8109136599,6588.213184421879,483.1808520430562,0.8770781600290648,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,324.83,641.6590051737038,63.34719653504885,0.000681,1.9e-05,0.060572277405040814,0.004166182493945256,16676774.055931339,2162461.2532297825,6795.751449034776,881.1985546983628,0.9831832260104665,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,329.41,1054.885471981859,76.97977462525536,0.001213,2.3999999999999997e-05,0.060022369603078975,0.004129510933176801,15533171.571434654,1658350.7008947965,6329.735766680788,675.7745317419709,0.9831832260104665,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,344.2785,213989.6909719694,623.8208927643856,0.2659,0.002,0.05828042033011458,0.004001494402107475,14804052.092505947,1023927.8469431702,6032.62106459085,417.2485113867849,1.9552251783000307,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,367.7891,7079.929723459082,245.71899209433644,0.00859,6e-05,0.0556663664474424,0.0037810850624111878,15873462.652804127,1230397.608908625,6468.403688999237,501.3845187076712,5.594922451686748,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,411.1165,14660.742277691788,122.24866032110857,0.02237,0.00013,0.05129809483199712,0.003369442765913241,13696749.242696894,917359.674612808,5581.397409411938,373.8221982937278,0.874491798004417,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,416.02,573.3041031164116,60.726152931624746,0.001088,1.9e-05,0.050838785558067465,0.0033251443583831174,11111936.5487494,1471937.1712126723,4528.091503157865,599.8113982121729,0.874491798004417,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,443.9606,750.1338058216545,2357.1736683658028,0.02827,0.00014000000000000001,0.04834751620376687,0.0030879373973064883,588393.0409408329,1849438.536154177,239.76896533856274,753.6424352706508,1.0018668358420222,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,444.01,17761.569655449366,2343.7455536036196,0.00298,0.00010999999999999999,0.04834329399360898,0.0030875429753022855,132177522.1443225,20006558.044977225,53862.0709634566,8152.631640170019,1.0018668358420222,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,488.6792,2192.2821499300553,76.44310925631132,0.00414,3e-05,0.04476576183464097,0.0027690232281579723,12681741.385546762,944824.5959549631,5167.783775691427,385.01409778115857,1.0915878046074439,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,503.467,728.687388835354,57.344187415514796,0.0015240000000000002,2e-05,0.04367918050194034,0.0026798371674540133,11735742.462101532,1258608.0719957622,4782.291141850665,512.8802249371485,0.9273175703549452,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,563.986,2397.5550901533115,88.60935968818374,0.00494,5e-05,0.0396639171884225,0.0023855922276954586,13118216.953091681,973128.0631475906,5345.646680151459,396.5477029941282,1.0594084462012636,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,566.438,642.9083138004911,77.30212136192166,0.0013100000000000002,3e-05,0.0395144140709789,0.0023757058704562714,13315300.297752999,1890201.105713861,5425.95774154564,770.2530993129018,1.0594084462012636,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,586.2648,2043.7684501215374,153.13071463486096,0.00455,4e-05,0.03833934414319196,0.0023005237792273763,12560426.323332474,1242209.257956763,5118.348135017308,506.1977416286728,4.414324975622478,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,656.489,778.3964247232714,80.24868511600975,0.001441,2.2000000000000003e-05,0.034609787058787415,0.002088308647477218,16732725.639675226,2102411.456062431,6818.551605409628,856.7283847035171,1.4145532617422487,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,674.64,629.2698867236525,60.10366706515332,0.00169,3e-05,0.03374209659415374,0.0020437219730176006,11830604.775154393,1434172.2862361262,4820.94734113871,584.4222845297987,1.3202687005031273,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,678.623,1775.7539816213982,77.10027766290072,0.00473,4e-05,0.0335564377889535,0.002034372276974024,11994290.699057855,944069.261122366,4887.649021620968,384.70630037586227,1.3202687005031273,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,688.67,3486.226924431166,80.84708454892542,0.00856,6e-05,0.03309543516325176,0.0020114241590469253,13192969.481500955,891629.1265503181,5376.108183170723,363.3370523839927,1.0398594057621748,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,712.83,437.03539556246045,67.63500394828233,0.000955,2.3999999999999997e-05,0.032027996874975664,0.001959613142275957,15318358.479393154,2680208.109634953,6242.199869353363,1092.1793437795245,1.5733374295168405,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,719.346,498.7624186615005,1052.7873250086063,0.0025,8e-05,0.031749623335018455,0.0019463714382108505,6736648.722624893,14230539.348059691,2745.170628616501,5798.915789755376,1.5733374295168405,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,719.36,811.8913587459247,1040.8513715969414,0.00095,3e-05,0.03174902944378917,0.0019463433227670643,28858425.059000432,37064061.88338152,11759.749412795612,15103.52969982947,1.5733374295168405,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,764.88,721.849857481652,73.17851215303482,0.00189,4e-05,0.02990845371662709,0.0018609720460041016,13690517.863540694,1730755.662367565,5578.858135102158,705.2794060177526,1.4561890429640143,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,778.9045,46800.27916402404,293.2508231502777,0.1293,0.0008,0.029375644310549624,0.0018367976172434244,13209649.170011193,836354.477082357,5382.90512225395,340.81274534733376,1.8679488576737109,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,810.451,1196.613167629533,69.4471855336727,0.00317,3e-05,0.02823094585598342,0.0017853471822713626,14335005.105266394,1305420.9173373245,5841.48537296919,531.9563640331396,1.2600707400790914,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,841.574,532.1295100176006,66.0664047566463,0.00168,3e-05,0.027169364194869268,0.0017379220581586012,12498484.404721655,1841319.903029557,5093.106929389427,750.3341088140004,1.1670554896844005,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,867.38,13242.230763783979,136.26723543340515,0.042300000000000004,0.0003,0.02633605429311637,0.0017006711909900417,12743796.895392526,845494.7625734839,5193.071269516106,344.53739306172935,1.194042556810325,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,919.337,1356.8247648488586,74.80822523349242,0.00419,5e-05,0.024775108128296492,0.0016302843615729626,14012736.191554157,1272718.7167417384,5710.161447251083,518.6302839208388,1.610303510892703,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,926.31,783.1822609438328,66.04743714031281,0.00272,3e-05,0.02457663043855361,0.001621241111206001,12560310.188411556,1424475.1677292318,5118.300810273658,580.4707284960194,1.610303510892703,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,963.367,3054.1196514562243,9543.076020760385,0.0014000000000000002,6e-05,0.023562073496078934,0.0015745576470005806,99259771.51074402,310258015.58947796,40448.154649854936,126429.50920516624,1.3758748992832484,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,964.057,39754.47229344063,9517.573287028361,0.1451,0.0007000000000000001,0.02354380064959694,0.001573709034819071,12475868.094572,3102275.9504715437,5083.8908290839445,1264.1711289615093,1.3758748992832484,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1005.27,2714.876125888551,90.61585352872675,0.00659,0.00010999999999999999,0.022490764280262556,0.0015242578098909616,19637633.736081026,1565372.9886279232,8002.295735974339,637.8863034343615,1.8786585920602004,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1085.837,28196.456025429383,246.10859154641724,0.1011,0.0005,0.020630082036015625,0.0014337909979507226,14493430.123955937,1021386.9445887544,5906.0432452958175,416.21309885442315,2.1741352035960793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1089.737,4557.545661203369,114.02673801599417,0.01734,0.00010999999999999999,0.020546027800263364,0.0014295983978509785,13714590.025363196,1037882.0337590746,5588.667491998042,422.9348140827525,2.1741352035960793,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1109.18,1151.971867810237,170.02084586890146,0.00189,6e-05,0.020134634489253615,0.0014089358002590802,32453764.827787276,5484171.219812944,13224.8430431081,2234.788598130784,1.0736039805702375,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1112.076,34718.98259912906,244.11038835074936,0.13670000000000002,0.0008,0.020074427383266546,0.0014058917160964365,13563884.260178547,960763.8079356841,5527.255199746759,391.50929418732034,1.0736039805702375,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1212.948,3335.3360830380498,74.47145380166774,0.014150000000000001,8e-05,0.018135642177250215,0.0013049686460209371,13934102.127923932,1080049.6621640855,5678.118226537869,440.1180367416811,1.2848150539582253,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1249.94,551.4613276091437,40.817907540321194,0.0018700000000000001,3e-05,0.017494491658815465,0.0012703093700386625,18071778.444012817,2046332.9853360697,7364.212894870749,833.8765221418377,1.1444929349104602,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1292.78,209.2686401751875,29.303482298039096,0.00101,3e-05,0.016793294516382742,0.0012316564641278354,13227435.108060425,2315660.53526521,5390.152855770344,943.6269499858232,1.1960451366877654,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1299.142,3666.6468196903106,68.4973234106981,0.01633,0.00010999999999999999,0.016692731547322124,0.001226049066160821,14420630.582689468,1122746.8565161342,5876.377580558055,457.5170564450425,1.1960451366877654,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1408.013,43377.83823945319,568.6764747854922,0.20870000000000002,0.0009,0.015101116921272802,0.0011352107487926349,14755881.246298065,1130019.4289515114,6012.991542908747,460.4806148946664,8.09141319832942,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1457.643,1748.360142169991,314.1392831679956,0.0049700000000000005,4e-05,0.014448729249326242,0.0010968908541194294,26101990.132919583,5133780.781456913,10636.507796625747,2092.00520841765,36.92102004481982,09/13/2018 08:39:08,2289.0,2454.0
eu_calib_7cm.Spe,152EU,1528.1,1228.3996642907582,74.26725398000046,0.0027900000000000004,3e-05,0.013591023437016136,0.0010456438155368288,34730584.32267983,3559525.012387399,14152.642348280291,1450.4991900519149,3.701351156334383,09/13/2018 08:39:08,2289.0,2454.0
